FieldName,ExpectedDirection,H2r,H2rPval,BP_beta,BP_H2r,BP_H2rPval,BP_pval,ok.direction,Variablefullname,BP1_h2rpval,BP1_h2r,BP0_h2rpval,BP0_h2r,CR201_h2rpval,CR201_h2r,CR201_BP1_h2rpval,CR201_BP1_h2r,CR201_BP0_h2rpval,CR201_BP0_h2r,Domain,Construct,Num_BP,Num_nonBP,Num_naBP
TA_postcentral,-,0.300,1.06E-05,-0.067,0.292,1.27E-05,1.97E-01,yes,postcentral average gray matter thickness (mm) ,0.5,0,0.000111,0.414873034,0.07452365,0.170965935,0.5,0,0.03243975,0.440558344,MRI|tier1,primarySensoryMotor,153,369,5
TA_posteriorcingulate,-,0.324,2.24E-06,-0.146,0.312,3.59E-06,2.39E-02,yes,posterior cingulate average gray matter thickness (mm) ,0.1296714,0.171745834,0.00012975,0.368591884,0.06976505,0.218480424,0.5,0,0.0602788,0.318902046,MRI|tier1,limbic,153,369,5
TA_precuneus,-,0.307,4.06E-06,-0.207,0.314,2.46E-06,1.96E-03,yes,precuneus average gray matter thickness (mm) ,0.5,0,6.97E-05,0.373989946,0.5,0,0.5,0,0.5,0,MRI|tier1,posteriorAssociation,153,369,5
TA_rostralanteriorcingulate,-,0.264,4.47E-05,-0.049,0.254,8.07E-05,2.83E-01,yes,rostral anterior cingulate average gray matter thickness (mm) ,0.5,0,0.01296555,0.193831874,0.5,0,0.5,0,0.5,0,MRI|tier1,limbic,153,369,5
TA_rostralmiddlefrontal,-,0.306,7.20E-06,-0.322,0.323,2.06E-06,7.00E-06,yes,rostral middle frontal average gray matter thickness (mm) ,0.5,0,0.0011827,0.274386657,0.2720395,0.062543499,0.5,0,0.5,0,MRI|tier1,prefrontal,153,369,5
TA_superiorparietal,-,0.288,3.01E-06,-0.145,0.293,2.37E-06,1.98E-02,yes,superior parietal average gray matter thickness (mm) ,0.5,0,1.46E-06,0.427983668,0.40539315,0.024856216,0.5,0,0.48838425,0.005155717,MRI|tier1,posteriorAssociation,153,369,5
TA_superiortemporal,-,0.340,1.64E-07,-0.255,0.331,3.36E-07,7.20E-05,yes,superior temporal average gray matter thickness (mm) ,0.279745,0.092126585,0.00011385,0.346239957,0.0824183,0.140099846,0.5,0,0.1843188,0.128341427,MRI|tier1,posteriorAssociation,153,369,5
TA_supramarginal,-,0.301,7.60E-06,-0.187,0.309,4.36E-06,4.94E-03,yes,supramarginal average gray matter thickness (mm) ,0.5,0,2.81E-05,0.426156451,0.3231253,0.060305615,0.5,0,0.5,0,MRI|tier1,posteriorAssociation,153,369,5
TA_transversetemporal,-,0.346,1.30E-06,-0.177,0.356,7.28E-07,7.29E-03,yes,transverse temporal average gray matter thickness (mm) ,0.5,0,0.00044665,0.363350311,0.00972395,0.317801331,0.5,0,0.0044051,0.536696234,MRI|tier1,posteriorAssociation,153,369,5
Thalamus,-,0.446,6.42E-12,-0.168,0.446,4.31E-12,4.78E-04,yes,thalamus volume (mm^3) ,0.0024706,0.554638346,1.05E-06,0.435333978,0.0494488,0.230263278,0.5,0,0.1371502,0.211902665,MRI|tier1,diencephalon,153,369,5
TotalBrainVolume,-,0.329,2.02E-07,-0.241,0.381,2.34E-09,8.99E-12,yes,total brain volume (mm^3) ,0.0171251,0.418096697,3.13E-06,0.402739605,1.44E-06,0.629321828,0.0725837,0.59663632,7.85E-05,0.720599253,MRI|tier1,global,153,369,5
TotalCerebellum,-,0.643,2.21E-17,-0.180,0.646,4.65E-18,2.52E-04,yes,total cerebellum volume (mm^3) ,0.00593835,0.48861813,3.93E-13,0.734978678,2.05E-05,0.785425852,0.4357332,0.207760743,0.0001684,1,MRI|tier1,cerebellum,153,369,5
TotalCerebrum,-,0.382,3.03E-09,-0.237,0.440,1.53E-11,3.14E-11,yes,total cerebrum volume (mm^3) ,0.0071836,0.511766691,8.29E-08,0.467433738,2.08E-07,0.714355118,0.0668327,0.623483358,1.86E-05,0.778218809,MRI|tier1,global,153,369,5
TotalSurfaceArea,-,0.816,7.36E-32,-0.096,0.826,4.21E-33,4.77E-02,yes,total surface area (mm^2),1.35E-08,1,1.43E-18,0.833180588,4.40E-07,0.796959722,0.0146786,1,5.69E-05,0.862225863,MRI|tier1,global,153,369,5
VentralDC,-,0.405,1.94E-07,-0.219,0.401,1.66E-07,6.16E-05,yes,ventral diencephalon volume (mm^3) ,0.06504635,0.258565419,9.67E-07,0.558929937,0.00460595,0.43767072,0.5,0,0.01674595,0.486769813,MRI|tier1,diencephalon,153,369,5
X3rdVentricle,+,0.509,1.36E-14,0.318,0.509,4.70E-15,9.88E-07,yes,third ventricle volume (mm^3) ,3.08E-05,0.654760453,1.17E-05,0.393254261,0.1266095,0.168715682,0.5,0,0.05130575,0.322057739,MRI|tier1,global,153,369,5
X4thVentricle,+,0.552,1.47E-15,0.180,0.567,1.76E-16,1.09E-02,yes,fourth ventricle volume (mm^3) ,0.00149935,0.563613476,3.26E-09,0.552256004,9.77E-05,0.538928511,0.36754565,0.14683298,0.00065925,0.569550849,MRI|tier1,global,153,369,5
region_10_FA,-,0.536,3.66E-05,-0.216,0.467,1.52E-04,1.78E-02,yes,genu corpus callosum fractional anisotropy,0.25441415,0.204955846,0.0159324,0.33129514,,,,,,,DTI ,connects right & left hemisphere- anterior,64,155,1
region_10_L1,+,0.569,1.93E-07,0.128,0.540,4.27E-07,1.60E-01,yes,genu corpus callosum axial diffusivity,0.00047915,0.746483405,0.0181614,0.320815948,,,,,,,DTI ,connects right & left hemisphere- anterior,64,155,1
region_10_RD,+,0.529,4.39E-05,0.213,0.444,2.54E-04,2.78E-02,yes,genu corpus callosum radial diffusivity,0.03844165,0.49412046,0.09378395,0.195640972,,,,,,,DTI ,connects right & left hemisphere- anterior,64,155,1
region_11and12_FA,-,0.566,3.47E-07,-0.243,0.507,1.70E-06,7.15E-03,yes,inferior fronto-occipital fasiculus  fractional anisotropy,0.0746606,0.423137386,0.00968525,0.338992749,,,,,,,DTI ,connects frontal & occipital lobes,68,156,1
region_11and12_L1,+,0.773,1.28E-17,-0.173,0.805,3.54E-18,5.81E-02,no,inferior fronto-occipital fasiculus axial diffusivity,2.64E-05,1,4.45E-12,0.882252947,,,,,,,DTI ,connects frontal & occipital lobes,68,156,1
region_11and12_RD,+,0.499,1.10E-06,0.191,0.454,3.92E-06,3.29E-02,yes,inferior fronto-occipital fasiculus radial diffusivity,0.0207042,0.551571311,0.0163348,0.272261288,,,,,,,DTI ,connects frontal & occipital lobes,68,156,1
region_13and14_FA,-,0.435,7.70E-05,-0.245,0.383,2.41E-04,1.02E-02,yes,inferior longitudinal fasiculus fractional anisotropy,0.0352757,0.557182901,0.18080935,0.127525274,,,,,,,DTI ,connects the temporal & occipital lobes,68,156,1
region_13and14_L1,+,0.765,1.42E-13,-0.093,0.777,7.12E-14,2.09E-01,no,inferior longitudinal fasiculus axial diffusivity,9.77E-05,1,4.09E-08,0.774768377,,,,,,,DTI ,connects the temporal & occipital lobes,68,156,1
region_13and14_RD,+,0.549,4.47E-06,0.252,0.486,1.56E-05,1.08E-02,yes, inferior longitudinal fasiculus radial diffusivity,0.02531875,0.585174352,0.01964885,0.293586894,,,,,,,DTI ,connects the temporal & occipital lobes,68,156,1
region_17and18_FA,-,0.549,5.20E-06,-0.190,0.506,1.29E-05,5.07E-02,yes,uncinate fasiculus fractional anisotropy,0.3376085,0.102378068,0.0036864,0.467481871,,,,,,,DTI ,connects limbic system structures to frontal lobes,68,156,1
region_17and18_L1,+,0.661,2.47E-13,-0.108,0.683,1.32E-13,1.70E-01,no,uncinate fasiculus axial diffusivity,0.0003308,0.87947203,7.90E-07,0.583881888,,,,,,,DTI ,connects limbic system structures to frontal lobes,68,156,1
region_1and2_FA,-,0.607,4.96E-11,-0.114,0.588,1.33E-10,1.52E-01,yes,anterior thalamic radiation fractional anisotropy,0.02215065,0.483163345,1.30E-05,0.585256301,,,,,,,DTI ,connects thalamus to prefrontal cortex,68,156,1
region_1and2_L1,+,0.731,1.67E-13,-0.149,0.784,1.86E-14,8.12E-02,no,anterior thalamic radiation axial diffusivity,0.00021265,0.91873808,4.83E-07,0.750995812,,,,,,,DTI ,connects thalamus to prefrontal cortex,68,156,1
region_9_FA,-,0.451,2.24E-05,-0.457,0.378,8.57E-05,7.30E-05,yes,splenium corpus callosum fractional anisotropy,0.2723193,0.145984075,0.0003356,0.504973876,,,,,,,DTI ,connects right & left hemisphere- posterior,64,155,1
region_9_L1,+,0.909,2.70E-16,-0.058,0.920,3.15E-16,3.02E-01,no,splenium corpus callosum axial diffusivity,0.00010145,1,4.75E-10,0.929097706,,,,,,,DTI ,connects right & left hemisphere- posterior,64,155,1
region_9_RD,+,0.707,3.83E-10,0.440,0.613,1.67E-09,6.24E-05,yes,splenium corpus callosum radial diffusivity,0.11293435,0.273941644,3.81E-08,0.810515816,,,,,,,DTI ,connects right & left hemisphere- posterior,64,155,1
